trial_count	CURRENT_FIX_START	CLICKs	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREAS
0	7	1200	106	[ ]
0	335	1200	643	[ ]
0	656	1200	1101	[ ]
0	1133	1200	1328	[ 1
0	1369	1200	1762	[ 1
0	1937	1200	2184	[ 1
0	2557	1200	2777	[ 1
0	2818	1200	3003	[ ]
0	3195	1200	3311	[ 1
0	3504	1200	3762	[ ]
0	3812	1200	4080	[ ]
0	4112	1200	4265	[ ]
0	4319	1200	4451	[ 1
0	4507	1200	4706	[ ]
0	4728	1200	4866	[ ]
0	5053	1200	5209	[ 1
0	5399	1200	5489	[ ]
0	5540	1200	5710	[ 1
0	5783	1200	5870	[ ]
0	5938	1200	6170	[ 1
0	6233	1200	6304	[ ]
0	6369	1200	6714	[ 4]
0	6789	1200	6866	[ 2]
0	6918	1200	7310	[ 1
0	7516	1200	7551	[ ]
0	7	1200	857	[ ]
0	884	1200	1184	[ 3]
0	1201	1200	1322	[ 3]
0	1354	1200	1465	[ 3]
0	1601	1200	1736	[ 3]
0	1893	1200	1968	[ 1]
0	2023	1200	2263	[ 3]
0	2307	1200	2536	[ 3]
0	2588	1200	2764	[ 1]
0	2796	1200	2980	[ 1]
0	3020	1200	3341	[ 1]
0	3380	1200	3679	[ 1]
0	3715	1200	3903	[ ]
0	3940	1200	4122	[ 4]
0	4151	1200	4281	[ 4]
0	4310	1200	4464	[ 4]
0	4531	1200	4713	[ 2]
0	4759	1200	5204	[ 2]
0	5584	1200	5750	[ 4]
0	5774	1200	5898	[ 4]
0	5925	1200	6041	[ 4]
0	6108	1200	6228	[ 2]
0	6260	1200	6469	[ 2]
0	6493	1200	6808	[ 2]
0	6835	1200	6988	[ 2]
0	7	1200	257	[ ]
0	298	1200	1289	[ ]
0	1329	1200	1477	[ 1]
0	1493	1200	1609	[ 1]
0	1641	1200	1779	[ 1]
0	1829	1200	2009	[ 2]
0	2032	1200	2180	[ 2]
0	2247	1200	2319	[ 4]
0	2351	1200	2503	[ 4]
0	2569	1200	2727	[ 3]
0	2751	1200	2947	[ 3]
0	3014	1200	3161	[ 2]
0	3218	1200	3355	[ 1]
0	3397	1200	3622	[ 1]
0	3642	1200	3812	[ 1]
0	3873	1200	4036	[ 2]
0	4063	1200	4114	[ 2]
0	4167	1200	4339	[ 1]
0	4381	1200	4527	[ 1]
0	4558	1200	4725	[ 1]
0	4756	1200	4934	[ 1]
0	4948	1200	5119	[ 1]
0	5167	1200	5454	[ 2]
0	5516	1200	5878	[ 1]
0	5925	1200	6059	[ 2]
0	6090	1200	6233	[ 2]
0	6271	1200	6415	[ 2]
0	6486	1200	6666	[ 1]
0	6695	1200	6883	[ 1]
0	7	1200	282	[ ]
0	326	1200	1207	[ 1]
0	1244	1200	1377	[ ]
0	1430	1200	1807	[ 4]
0	1833	1200	2042	[ ]
0	2279	1200	2399	[ ]
0	2656	1200	2715	[ ]
0	2910	1200	3100	[ 3]
0	3137	1200	3340	[ 3]
0	3394	1200	3540	[ 1]
0	3597	1200	3750	[ 3]
0	3934	1200	4123	[ 3]
0	4291	1200	4474	[ 3]
0	4491	1200	4585	[ 3]
0	4758	1200	5048	[ 3]
0	5249	1200	5519	[ 3]
0	5563	1200	5671	[ 3]
0	5764	1200	5967	[ 2]
0	6003	1200	6349	[ 2]
0	6380	1200	6624	[ 2]
0	6656	1200	6916	[ 2]
0	6935	1200	7243	[ 2]
1	7	1200	4749	[ ]
1	4791	1200	5324	[ 3]
1	5366	1200	5687	[ ]
1	5728	1200	6122	[ 3]
1	6176	1200	6456	[ ]
1	6474	1200	6646	[ ]
1	6658	1200	6745	[ ]
1	6993	1200	7127	[ 3]
1	7143	1200	7239	[ 3]
1	7339	1200	7545	[ 3]
1	7711	1200	7831	[ 3]
1	7880	1200	7993	[ 3]
1	8033	1200	8269	[ ]
1	8322	1200	8470	[ 3]
1	8493	1200	9160	[ 3]
1	9207	1200	9354	[ 3]
1	9394	1200	9567	[ 3]
1	9595	1200	9691	[ ]
1	9732	1200	9840	[ 2
1	9873	1200	10055	[ 2
1	10111	1200	10253	[ 1]
1	10282	1200	10438	[ ]
1	10493	1200	10655	[ 2
1	10671	1200	10845	[ 2
1	10872	1200	11242	[ 2
1	11300	1200	11450	[ 1]
1	11532	1200	11677	[ 2
1	11733	1200	11955	[ 1]
1	11981	1200	12107	[ 1]
1	12179	1200	12386	[ 2
1	12408	1200	12612	[ 2
1	12636	1200	13098	[ 2
1	13143	1200	13241	[ 2
