Trial,Time,% in 1,% in 2,% in 3,% in 4
2,3100.0-3200.0,0.0,0.0,0.0,88.0
2,3200.0-3300.0,0.0,0.0,0.0,83.0
2,3300.0-3400.0,0.0,0.0,0.0,100.0
2,3400.0-3500.0,0.0,0.0,0.0,100.0
2,3500.0-3600.0,0.0,0.0,0.0,77.0
2,3600.0-3700.0,0.0,0.0,0.0,100.0
2,3700.0-3800.0,0.0,0.0,0.0,81.0
2,3800.0-3900.0,0.0,0.0,0.0,99.0
2,3900.0-4000.0,0.0,0.0,0.0,79.0
2,4000.0-4100.0,0.0,0.0,0.0,84.0
2,4100.0-4200.0,0.0,0.0,0.0,76.0
2,4200.0-4300.0,0.0,0.0,0.0,100.0
2,4300.0-4400.0,0.0,0.0,0.0,69.0
2,4400.0-4500.0,0.0,0.0,0.0,100.0
2,4500.0-4600.0,0.0,0.0,0.0,80.0
2,4600.0-4700.0,0.0,0.0,0.0,100.0
2,4700.0-4800.0,0.0,0.0,0.0,73.0
2,4800.0-4900.0,0.0,0.0,0.0,100.0
2,4900.0-5000.0,0.0,0.0,0.0,100.0
2,5000.0-5100.0,0.0,0.0,0.0,86.0
2,5100.0-5200.0,0.0,0.0,0.0,100.0
2,5200.0-5300.0,0.0,0.0,0.0,100.0
2,5300.0-5400.0,0.0,0.0,0.0,79.0
2,5400.0-5500.0,0.0,0.0,0.0,97.0
2,5500.0-5600.0,0.0,0.0,35.0,0.0
2,5600.0-5700.0,0.0,0.0,85.0,0.0
2,5700.0-5800.0,0.0,0.0,88.0,0.0
2,5800.0-5900.0,0.0,0.0,100.0,0.0
2,5900.0-6000.0,0.0,0.0,100.0,0.0
2,6000.0-6100.0,0.0,0.0,100.0,0.0
2,6100.0-6200.0,0.0,0.0,91.0,0.0
2,6200.0-6300.0,0.0,0.0,0.0,60.0
2,6300.0-6400.0,0.0,0.0,0.0,100.0
6,3100.0-3200.0,0.0,100.0,0.0,0.0
6,3200.0-3300.0,0.0,84.0,0.0,0.0
6,3300.0-3400.0,0.0,82.0,0.0,0.0
6,3400.0-3500.0,0.0,86.0,0.0,0.0
6,3500.0-3600.0,0.0,100.0,0.0,0.0
6,3600.0-3700.0,0.0,70.0,0.0,0.0
6,3700.0-3800.0,0.0,100.0,0.0,0.0
6,3800.0-3900.0,0.0,79.0,0.0,0.0
6,3900.0-4000.0,0.0,100.0,0.0,0.0
6,4000.0-4100.0,0.0,100.0,0.0,0.0
6,4100.0-4200.0,0.0,7.0,20.0,0.0
6,4200.0-4300.0,0.0,0.0,100.0,0.0
6,4300.0-4400.0,0.0,0.0,76.0,0.0
6,4400.0-4500.0,0.0,0.0,100.0,0.0
6,4500.0-4600.0,0.0,0.0,31.0,1.0
6,4600.0-4700.0,0.0,0.0,0.0,100.0
6,4700.0-4800.0,0.0,0.0,0.0,75.0
6,4800.0-4900.0,0.0,0.0,0.0,100.0
6,4900.0-5000.0,0.0,0.0,0.0,53.0
6,5000.0-5100.0,71.0,0.0,0.0,0.0
6,5100.0-5200.0,76.0,0.0,0.0,0.0
6,5200.0-5300.0,100.0,0.0,0.0,0.0
6,5300.0-5400.0,100.0,0.0,0.0,0.0
6,5400.0-5500.0,70.0,0.0,0.0,0.0
6,5500.0-5600.0,100.0,0.0,0.0,0.0
6,5600.0-5700.0,100.0,0.0,0.0,0.0
6,5700.0-5800.0,74.0,0.0,0.0,0.0
6,5800.0-5900.0,100.0,0.0,0.0,0.0
6,5900.0-6000.0,91.0,0.0,0.0,0.0
6,6000.0-6100.0,79.0,0.0,0.0,0.0
6,6100.0-6200.0,100.0,0.0,0.0,0.0
6,6200.0-6300.0,69.0,0.0,0.0,0.0
6,6300.0-6400.0,100.0,0.0,0.0,0.0
8,2600.0-2700.0,74.0,0.0,0.0,0.0
8,2700.0-2800.0,100.0,0.0,0.0,0.0
8,2800.0-2900.0,99.0,0.0,0.0,0.0
8,2900.0-3000.0,75.0,0.0,0.0,0.0
8,3000.0-3100.0,100.0,0.0,0.0,0.0
8,3100.0-3200.0,90.0,0.0,0.0,0.0
8,3200.0-3300.0,100.0,0.0,0.0,0.0
8,3300.0-3400.0,100.0,0.0,0.0,0.0
8,3400.0-3500.0,5.0,29.0,0.0,0.0
8,3500.0-3600.0,0.0,100.0,0.0,0.0
8,3600.0-3700.0,0.0,75.0,0.0,0.0
8,3700.0-3800.0,0.0,100.0,0.0,0.0
8,3800.0-3900.0,0.0,2.0,0.0,15.0
8,3900.0-4000.0,0.0,0.0,0.0,91.0
8,4000.0-4100.0,0.0,0.0,0.0,81.0
8,4100.0-4200.0,0.0,0.0,16.0,17.0
8,4200.0-4300.0,0.0,0.0,100.0,0.0
8,4300.0-4400.0,0.0,0.0,80.0,0.0
8,4400.0-4500.0,0.0,0.0,100.0,0.0
8,4500.0-4600.0,0.0,0.0,100.0,0.0
8,4600.0-4700.0,0.0,0.0,100.0,0.0
8,4700.0-4800.0,0.0,0.0,71.0,0.0
8,4800.0-4900.0,0.0,0.0,100.0,0.0
8,4900.0-5000.0,0.0,0.0,100.0,0.0
8,5000.0-5100.0,0.0,0.0,100.0,0.0
8,5100.0-5200.0,0.0,0.0,68.0,0.0
8,5200.0-5300.0,1.0,0.0,29.0,0.0
8,5300.0-5400.0,100.0,0.0,0.0,0.0
8,5400.0-5500.0,78.0,0.0,0.0,0.0
8,5500.0-5600.0,100.0,0.0,0.0,0.0
8,5600.0-5700.0,100.0,0.0,0.0,0.0
8,5700.0-5800.0,81.0,0.0,0.0,0.0
10,2900.0-3000.0,0.0,0.0,0.0,100.0
10,3000.0-3100.0,0.0,0.0,0.0,100.0
10,3100.0-3200.0,0.0,0.0,9.0,39.0
10,3200.0-3300.0,0.0,0.0,100.0,0.0
10,3300.0-3400.0,0.0,0.0,79.0,0.0
10,3400.0-3500.0,0.0,0.0,100.0,0.0
10,3500.0-3600.0,0.0,0.0,84.0,0.0
10,3600.0-3700.0,0.0,0.0,91.0,0.0
10,3700.0-3800.0,0.0,0.0,100.0,0.0
10,3800.0-3900.0,0.0,0.0,77.0,0.0
10,3900.0-4000.0,0.0,0.0,100.0,0.0
10,4000.0-4100.0,0.0,0.0,100.0,0.0
10,4100.0-4200.0,0.0,0.0,46.0,0.0
10,4200.0-4300.0,0.0,0.0,0.0,92.0
10,4300.0-4400.0,0.0,0.0,0.0,87.0
10,4400.0-4500.0,0.0,0.0,0.0,100.0
10,4500.0-4600.0,0.0,0.0,0.0,100.0
10,4600.0-4700.0,0.0,0.0,0.0,100.0
10,4700.0-4800.0,0.0,0.0,0.0,100.0
10,4800.0-4900.0,0.0,0.0,0.0,100.0
10,4900.0-5000.0,0.0,0.0,0.0,98.0
10,5000.0-5100.0,28.0,0.0,0.0,0.0
10,5100.0-5200.0,100.0,0.0,0.0,0.0
10,5200.0-5300.0,72.0,0.0,0.0,0.0
10,5300.0-5400.0,100.0,0.0,0.0,0.0
10,5400.0-5500.0,10.0,42.0,0.0,0.0
10,5500.0-5600.0,0.0,100.0,0.0,0.0
10,5600.0-5700.0,0.0,100.0,0.0,0.0
10,5700.0-5800.0,0.0,73.0,0.0,0.0
10,5800.0-5900.0,0.0,34.0,0.0,17.0
10,5900.0-6000.0,0.0,0.0,0.0,100.0
10,6000.0-6100.0,0.0,0.0,0.0,69.0
10,6100.0-6200.0,0.0,0.0,0.0,100.0
12,4400.0-4500.0,0.0,67.0,0.0,0.0
12,4500.0-4600.0,81.0,0.0,0.0,0.0
12,4600.0-4700.0,100.0,0.0,0.0,0.0
12,4700.0-4800.0,4.0,0.0,0.0,34.0
12,4800.0-4900.0,0.0,0.0,0.0,100.0
12,4900.0-5000.0,0.0,0.0,0.0,100.0
12,5000.0-5100.0,0.0,0.0,0.0,69.0
12,5100.0-5200.0,0.0,0.0,0.0,100.0
12,5200.0-5300.0,0.0,0.0,0.0,100.0
12,5300.0-5400.0,0.0,0.0,0.0,100.0
12,5400.0-5500.0,0.0,0.0,0.0,100.0
12,5500.0-5600.0,0.0,0.0,0.0,90.0
12,5600.0-5700.0,0.0,0.0,0.0,87.0
12,5700.0-5800.0,0.0,0.0,0.0,46.0
12,5800.0-5900.0,87.0,0.0,0.0,0.0
12,5900.0-6000.0,72.0,0.0,0.0,0.0
12,6000.0-6100.0,100.0,0.0,0.0,0.0
14,3200.0-3300.0,0.0,0.0,52.0,0.0
14,3300.0-3400.0,0.0,0.0,100.0,0.0
14,3400.0-3500.0,0.0,0.0,100.0,0.0
14,3500.0-3600.0,0.0,0.0,78.0,0.0
14,3600.0-3700.0,0.0,0.0,100.0,0.0
14,3700.0-3800.0,0.0,0.0,22.0,12.0
14,3800.0-3900.0,0.0,0.0,0.0,93.0
14,3900.0-4000.0,0.0,37.0,0.0,0.0
14,4000.0-4100.0,0.0,100.0,0.0,0.0
14,4100.0-4200.0,0.0,84.0,0.0,0.0
14,4200.0-4300.0,0.0,90.0,0.0,0.0
14,4300.0-4400.0,0.0,63.0,0.0,0.0
14,4400.0-4500.0,0.0,94.0,0.0,0.0
14,4500.0-4600.0,0.0,78.0,0.0,0.0
14,4600.0-4700.0,0.0,74.0,0.0,0.0
14,4700.0-4800.0,0.0,100.0,0.0,0.0
14,4800.0-4900.0,13.0,36.0,0.0,0.0
14,4900.0-5000.0,100.0,0.0,0.0,0.0
14,5000.0-5100.0,100.0,0.0,0.0,0.0
14,5100.0-5200.0,71.0,0.0,0.0,0.0
14,5200.0-5300.0,100.0,0.0,0.0,0.0
14,5300.0-5400.0,60.0,0.0,0.0,0.0
14,5400.0-5500.0,75.0,0.0,0.0,0.0
14,5500.0-5600.0,0.0,53.0,0.0,0.0
14,5600.0-5700.0,0.0,100.0,0.0,0.0
14,5700.0-5800.0,8.0,32.0,0.0,0.0
14,5800.0-5900.0,100.0,0.0,0.0,0.0
14,5900.0-6000.0,85.0,0.0,0.0,0.0
14,6000.0-6100.0,100.0,0.0,0.0,0.0
14,6100.0-6200.0,56.0,0.0,0.0,0.0
14,6200.0-6300.0,100.0,0.0,0.0,0.0
14,6300.0-6400.0,100.0,0.0,0.0,0.0
14,6400.0-6500.0,70.0,0.0,0.0,0.0
14,6500.0-6600.0,100.0,0.0,0.0,0.0
14,6600.0-6700.0,88.0,0.0,0.0,0.0
14,6700.0-6800.0,97.0,0.0,0.0,0.0
15,2800.0-2900.0,0.0,78.0,0.0,0.0
15,2900.0-3000.0,0.0,0.0,0.0,71.0
15,3000.0-3100.0,0.0,0.0,0.0,100.0
15,3100.0-3200.0,0.0,0.0,0.0,88.0
15,3200.0-3300.0,0.0,0.0,0.0,100.0
15,3300.0-3400.0,0.0,0.0,0.0,100.0
15,3400.0-3500.0,0.0,0.0,0.0,100.0
15,3500.0-3600.0,0.0,0.0,0.0,100.0
15,3600.0-3700.0,0.0,0.0,0.0,100.0
15,3700.0-3800.0,0.0,0.0,0.0,96.0
15,3800.0-3900.0,0.0,0.0,0.0,85.0
15,3900.0-4000.0,0.0,20.0,0.0,18.0
15,4000.0-4100.0,0.0,100.0,0.0,0.0
15,4100.0-4200.0,0.0,13.0,0.0,30.0
15,4200.0-4300.0,0.0,0.0,0.0,100.0
15,4300.0-4400.0,0.0,0.0,0.0,35.0
15,4400.0-4500.0,0.0,0.0,94.0,0.0
15,4500.0-4600.0,0.0,0.0,69.0,0.0
15,4600.0-4700.0,0.0,0.0,98.0,0.0
15,4700.0-4800.0,0.0,0.0,58.0,0.0
15,4800.0-4900.0,0.0,0.0,94.0,0.0
15,4900.0-5000.0,0.0,0.0,0.0,58.0
15,5000.0-5100.0,0.0,0.0,0.0,100.0
15,5100.0-5200.0,0.0,0.0,0.0,74.0
15,5200.0-5300.0,0.0,0.0,0.0,100.0
15,5300.0-5400.0,0.0,0.0,0.0,66.0
15,5400.0-5500.0,0.0,0.0,0.0,100.0
15,5500.0-5600.0,0.0,0.0,0.0,81.0
15,5600.0-5700.0,0.0,0.0,0.0,100.0
15,5700.0-5800.0,0.0,0.0,0.0,100.0
15,5800.0-5900.0,0.0,0.0,0.0,100.0
15,5900.0-6000.0,0.0,0.0,0.0,89.0
15,6000.0-6100.0,0.0,0.0,0.0,77.0
17,2600.0-2700.0,0.0,81.0,0.0,0.0
17,2700.0-2800.0,0.0,100.0,0.0,0.0
17,2800.0-2900.0,0.0,77.0,0.0,0.0
17,2900.0-3000.0,0.0,99.0,0.0,0.0
17,3000.0-3100.0,0.0,100.0,0.0,0.0
17,3100.0-3200.0,0.0,75.0,0.0,0.0
17,3200.0-3300.0,0.0,100.0,0.0,0.0
17,3300.0-3400.0,0.0,100.0,0.0,0.0
17,3400.0-3500.0,0.0,45.0,0.0,0.0
17,3500.0-3600.0,0.0,0.0,0.0,91.0
17,3600.0-3700.0,0.0,0.0,0.0,64.0
17,3700.0-3800.0,0.0,0.0,0.0,100.0
17,3800.0-3900.0,0.0,0.0,0.0,64.0
17,3900.0-4000.0,67.0,0.0,0.0,0.0
17,4000.0-4100.0,100.0,0.0,0.0,0.0
17,4100.0-4200.0,79.0,0.0,0.0,0.0
17,4200.0-4300.0,100.0,0.0,0.0,0.0
17,4300.0-4400.0,87.0,0.0,0.0,0.0
17,4400.0-4500.0,100.0,0.0,0.0,0.0
17,4500.0-4600.0,100.0,0.0,0.0,0.0
17,4600.0-4700.0,69.0,0.0,0.0,0.0
17,4700.0-4800.0,100.0,0.0,0.0,0.0
17,4800.0-4900.0,100.0,0.0,0.0,0.0
17,4900.0-5000.0,91.0,0.0,0.0,0.0
17,5000.0-5100.0,100.0,0.0,0.0,0.0
17,5100.0-5200.0,82.0,0.0,0.0,0.0
17,5200.0-5300.0,100.0,0.0,0.0,0.0
17,5300.0-5400.0,100.0,0.0,0.0,0.0
17,5400.0-5500.0,76.0,0.0,0.0,0.0
17,5500.0-5600.0,100.0,0.0,0.0,0.0
19,2700.0-2800.0,0.0,0.0,100.0,0.0
19,2800.0-2900.0,0.0,0.0,100.0,0.0
19,2900.0-3000.0,0.0,0.0,83.0,0.0
19,3000.0-3100.0,0.0,0.0,100.0,0.0
19,3100.0-3200.0,0.0,0.0,57.0,0.0
19,3200.0-3300.0,0.0,0.0,100.0,0.0
19,3300.0-3400.0,0.0,0.0,100.0,0.0
19,3400.0-3500.0,0.0,0.0,76.0,0.0
19,3500.0-3600.0,0.0,67.0,0.0,0.0
19,3600.0-3700.0,0.0,100.0,0.0,0.0
19,3700.0-3800.0,0.0,75.0,0.0,0.0
19,3800.0-3900.0,0.0,100.0,0.0,0.0
19,3900.0-4000.0,0.0,80.0,0.0,0.0
19,4000.0-4100.0,0.0,71.0,0.0,0.0
19,4100.0-4200.0,0.0,100.0,0.0,0.0
19,4200.0-4300.0,0.0,100.0,0.0,0.0
19,4300.0-4400.0,0.0,26.0,8.0,0.0
19,4400.0-4500.0,0.0,0.0,100.0,0.0
19,4500.0-4600.0,0.0,0.0,76.0,0.0
19,4600.0-4700.0,0.0,0.0,100.0,0.0
19,4700.0-4800.0,0.0,0.0,81.0,0.0
19,4800.0-4900.0,0.0,0.0,100.0,0.0
19,4900.0-5000.0,0.0,0.0,100.0,0.0
19,5000.0-5100.0,0.0,0.0,78.0,0.0
19,5100.0-5200.0,41.0,0.0,0.0,0.0
19,5200.0-5300.0,100.0,0.0,0.0,0.0
19,5300.0-5400.0,76.0,0.0,0.0,0.0
19,5400.0-5500.0,100.0,0.0,0.0,0.0
19,5500.0-5600.0,75.0,0.0,0.0,0.0
19,5600.0-5700.0,100.0,0.0,0.0,0.0
19,5700.0-5800.0,100.0,0.0,0.0,0.0
19,5800.0-5900.0,76.0,0.0,0.0,0.0
19,5900.0-6000.0,100.0,0.0,0.0,0.0
21,4500.0-4600.0,0.0,0.0,100.0,0.0
21,4600.0-4700.0,0.0,0.0,94.0,0.0
21,4700.0-4800.0,0.0,52.0,0.0,0.0
21,4800.0-4900.0,0.0,78.0,0.0,0.0
21,4900.0-5000.0,0.0,78.0,0.0,0.0
21,5000.0-5100.0,0.0,82.0,0.0,0.0
21,5100.0-5200.0,0.0,95.0,0.0,0.0
21,5200.0-5300.0,0.0,100.0,0.0,0.0
21,5300.0-5400.0,0.0,88.0,0.0,0.0
21,5400.0-5500.0,0.0,100.0,0.0,0.0
21,5500.0-5600.0,0.0,17.0,26.0,0.0
21,5600.0-5700.0,0.0,0.0,100.0,0.0
21,5700.0-5800.0,0.0,0.0,100.0,0.0
21,5800.0-5900.0,0.0,0.0,73.0,0.0
21,5900.0-6000.0,0.0,0.0,100.0,0.0
21,6000.0-6100.0,0.0,0.0,75.0,0.0
21,6100.0-6200.0,0.0,0.0,69.0,0.0
21,6200.0-6300.0,0.0,66.0,0.0,0.0
21,6300.0-6400.0,0.0,78.0,0.0,0.0
