trial_count	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_START	CURRENT_FIX_END	verb_onset	Sentence_duration_ms
0	[ ]	7	1261	0	6411.791
0	[ ]	1268	1375	0	6467.347
0	[ ]	1507	1953	0	5891.156
0	[ 1]	2006	2203	0	6239.592
0	[ ]	2249	2447	0	6193.878
0	[ ]	2592	2822	0	6844.422
0	[ 1]	2886	3162	0	6115.646
0	[ 2]	3216	3622	0	5649.297
0	[ 1]	3692	4095	0	6057.823
0	[ 1]	4119	4203	0	6414.512
0	[ 1]	4395	4786	0	6197.279
0	[ 3]	4838	5128	0	6428.753
0	[ 1]	5185	5413	0	6034.014
0	[ 1]	5454	6158	0	5729.025
0	[ 1]	6179	6489	0	6382.472
0	[ 1]	6514	6665	0	5725.578
0	[ 1]	6698	7169	0	5891.156
0	[ ]	7	1224	3220.871	6057.823
0	[ ]	1236	1367	3220.871	6034.014
0	[ ]	1374	1903	3220.871	6844.422
0	[ 3]	1952	2087	3220.871	5649.297
0	[ 3]	2109	2207	3220.871	6411.791
0	[ 3]	2361	2465	3220.871	6115.646
0	[ 3]	2502	2625	3220.871	6193.878
0	[ 2]	2676	2818	3220.871	6467.347
0	[ 2]	2845	3109	3220.871	6197.279
0	[ 2]	3327	3523	3220.871	6428.753
0	[ 1]	3600	3714	3220.871	5725.578
0	[ 1]	3739	3902	3220.871	6382.472
0	[ 1]	3913	4106	3220.871	6414.512
0	[ 3]	4160	4290	3220.871	5729.025
0	[ 3]	4319	4427	3220.871	6239.592
0	[ 3]	4547	4757	3220.871	6411.791
0	[ 2]	4811	4963	3220.871	6467.347
0	[ 4]	5033	5350	3220.871	5891.156
0	[ 1]	5416	5560	3220.871	6239.592
0	[ 3]	5607	5859	3220.871	6193.878
0	[ 3]	5907	6116	3220.871	6844.422
0	[ 2]	6188	6506	3220.871	6115.646
0	[ 4]	6578	6707	3220.871	5649.297
0	[ 1]	6749	6903	3220.871	6057.823
0	[ 1]	6928	7384	3220.871	6414.512
0	[ 1]	7421	7598	3220.871	6197.279
0	[ 1]	7618	8054	3220.871	6428.753
0	[ ]	7	15	2881.856	6034.014
0	[ ]	320	1109	2881.856	5729.025
0	[ ]	1348	1556	2881.856	6382.472
0	[ ]	1564	1802	2881.856	5725.578
0	[ 1]	1848	2067	2881.856	5891.156
0	[ 1]	2093	2278	2881.856	6057.823
0	[ 1]	2291	2453	2881.856	6034.014
0	[ 3]	2501	2721	2881.856	6844.422
0	[ 3]	2736	3135	2881.856	5649.297
0	[ 2]	3235	3373	2881.856	6411.791
0	[ 2]	3395	3496	2881.856	6115.646
0	[ 2]	3528	3710	2881.856	6193.878
0	[ 2]	3737	3870	2881.856	6467.347
0	[ 1]	3924	4125	2881.856	6197.279
0	[ 1]	4149	4207	2881.856	6428.753
0	[ 1]	4235	4370	2881.856	5725.578
0	[ 3]	4450	4593	2881.856	6382.472
0	[ 3]	4610	4722	2881.856	6414.512
0	[ 4]	4783	5027	2881.856	5729.025
0	[ 2]	5080	5382	2881.856	6239.592
0	[ 1]	5449	5603	2881.856	
0	[ 1]	5650	5852	2881.856	
0	[ 1]	5862	6050	2881.856	
0	[ 1]	6080	6191	2881.856	
0	[ 1]	6301	6436	2881.856	
0	[ 2]	6513	6757	2881.856	
0	[ 1]	6834	6935	2881.856	
0	[ 1]	6954	7137	2881.856	
0	[ 1]	7158	7198	2881.856	
0	[ 1]	7231	7473	2881.856	
0	[ 3]	7531	7795	2881.856	
0	[ 3]	7825	7988	2881.856	
0	[ 3]	8027	8234	2881.856	
0	[ 1]	8299	8369	2881.856	
0	[ 3]	8402	8669	2881.856	
0	[ 3]	8714	8852	2881.856	
0	[ 3]	8877	9411	2881.856	
0	[ ]	7	44	0	
0	[ 3]	92	710	0	
0	[ 2]	748	908	0	
0	[ ]	935	1119	0	
0	[ ]	1274	1814	0	
0	[ 3]	1874	2195	0	
0	[ 3]	2224	2573	0	
0	[ 2]	2623	3303	0	
0	[ 3]	3500	3697	0	
0	[ 1]	3749	5143	0	
0	[ 1]	5423	6183	0	
0	[ 1]	6199	6607	0	
0	[ 3]	6665	6799	0	
1	[ ]	7	315	0	
1	[ 1]	494	893	0	
1	[ ]	917	1015	0	
1	[ ]	1219	1844	0	
1	[ 1]	1891	2390	0	
1	[ 1]	2414	2612	0	
1	[ ]	2670	3234	0	
1	[ 1]	3468	3617	0	
1	[ 1]	3806	4028	0	
1	[ 3]	4081	4484	0	
1	[ ]	4518	4880	0	
1	[ 1]	4918	5157	0	
1	[ 1]	5192	5634	0	
1	[ 1]	5660	6242	0	
2	[ ]	7	1775	3108.201	
2	[ 4]	1821	1957	3108.201	
2	[ 4]	1989	2108	3108.201	
2	[ 4]	2240	2506	3108.201	
2	[ 4]	2538	2636	3108.201	
2	[ 3]	2809	3237	3108.201	
2	[ 1]	3315	3422	3108.201	
2	[ 1]	3446	3729	3108.201	
2	[ 1]	3763	3921	3108.201	
2	[ 4]	3984	4148	3108.201	
2	[ 4]	4161	4547	3108.201	
2	[ 3]	4601	4804	3108.201	
2	[ 3]	4824	4876	3108.201	
2	[ 3]	4899	5008	3108.201	
2	[ 4]	5081	5184	3108.201	
2	[ 4]	5333	5605	3108.201	
2	[ 4]	5618	5881	3108.201	
2	[ 3]	5934	6080	3108.201	
2	[ 3]	6094	6406	3108.201	
2	[ 2]	6493	6601	3108.201	
2	[ 2]	6625	6886	3108.201	
2	[ 2]	6917	7090	3108.201	
2	[ 1]	7161	7263	3108.201	
2	[ 1]	7289	7785	3108.201	
2	[ 1]	7816	7971	3108.201	
2	[ 1]	7987	8541	3108.201	
2	[ 4]	8743	8807	3108.201	
3	[ ]	7	860	0	
3	[ ]	1094	1198	0	
3	[ ]	1218	1580	0	
3	[ ]	1805	1943	0	
3	[ 3]	1997	2352	0	
3	[ 3]	2383	2654	0	
3	[ 4]	2701	2728	0	
3	[ 4]	2918	3082	0	
3	[ 3]	3147	3331	0	
3	[ 3]	3368	4618	0	
3	[ 3]	4647	4745	0	
3	[ 1]	4799	5258	0	
3	[ 1]	5287	5518	0	
3	[ 1]	5531	5950	0	
3	[ 1]	6337	6491	0	
3	[ 1]	6503	6980	0	
3	[ ]	7027	7142	0	
4	[ ]	7	603	0	
4	[ 4]	630	878	0	
4	[ ]	900	2156	0	
4	[ ]	2164	2413	0	
4	[ 4]	2461	2617	0	
4	[ ]	2647	2999	0	
4	[ 4]	3105	3422	0	
4	[ 1]	3472	3691	0	
4	[ 1]	3714	4473	0	
4	[ 1]	4509	4714	0	
4	[ 2]	4791	4942	0	
4	[ 3]	5038	5235	0	
4	[ 1]	5295	5472	0	
4	[ 1]	5498	5578	0	
4	[ 1]	5760	6145	0	
4	[ 1]	6177	6229	0	
4	[ 1]	6477	6654	0	
4	[ 1]	6684	7106	0	
4	[ 1]	7305	7365	0	
5	[ ]	7	1898	0	
5	[ 3]	1951	2443	0	
5	[ 1]	2485	2793	0	
5	[ 3]	2842	2995	0	
5	[ ]	3131	3205	0	
5	[ 2]	3399	3507	0	
5	[ 3]	3574	3866	0	
5	[ 3]	3882	3968	0	
5	[ 3]	4171	4597	0	
5	[ 1]	4629	5698	0	
5	[ 1]	5729	6016	0	
5	[ 1]	6104	6453	0	
5	[ 1]	6733	7531	0	
6	[ ]	7	466	3135.133	
6	[ 2]	669	993	3135.133	
6	[ ]	1233	1773	3135.133	
6	[ 2]	1823	1969	3135.133	
6	[ 2]	1994	2155	3135.133	
6	[ 2]	2184	2369	3135.133	
6	[ 2]	2389	2554	3135.133	
6	[ 2]	2668	2795	3135.133	
6	[ 3]	2848	3476	3135.133	
6	[ 3]	3494	3716	3135.133	
6	[ 3]	3749	3863	3135.133	
6	[ 3]	3885	4023	3135.133	
6	[ 2]	4088	4425	3135.133	
6	[ 4]	4500	4646	3135.133	
6	[ 1]	4692	4807	3135.133	
