trial_count	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_START	CURRENT_FIX_END	verb_onset	Sentence_duration_ms
0	[ ]	7	1262	0	0
0	[ ]	1282	1865	0	6411.791
0	[ ]	1877	3068	0	0
0	[ ]	3087	3413	0	0
0	[ 1]	3456	3873	0	0
0	[ 2]	3909	4245	0	6467.347
0	[ 1]	4305	4632	0	0
0	[ 1]	4654	4994	0	5891.156
0	[ 1]	5012	5748	0	0
0	[ 1]	5773	6040	0	6239.592
0	[ 3]	6087	6842	0	0
0	[ 1]	6898	7027	0	6193.878
0	[ ]	7	1000	3220.871	0
0	[ ]	1019	2189	3220.871	6844.422
0	[ ]	2200	2360	3220.871	6115.646
0	[ ]	2369	2866	3220.871	0
0	[ 3]	2907	3141	3220.871	5649.297
0	[ 3]	3163	3295	3220.871	0
0	[ ]	3334	3470	3220.871	6057.823
0	[ ]	3483	3516	3220.871	0
0	[ ]	3668	3753	3220.871	6414.512
0	[ 4]	3778	4027	3220.871	6197.279
0	[ 4]	4050	4180	3220.871	0
0	[ 4]	4201	4382	3220.871	6428.753
0	[ 1]	4435	4666	3220.871	6034.014
0	[ 3]	4719	4975	3220.871	5729.025
0	[ 3]	4988	5127	3220.871	0
0	[ 3]	5164	5355	3220.871	0
0	[ 2]	5404	5533	3220.871	0
0	[ 2]	5556	5690	3220.871	6382.472
0	[ 4]	5732	5911	3220.871	5725.578
0	[ 4]	5946	6172	3220.871	0
0	[ 1]	6238	6367	3220.871	0
0	[ 2]	6427	6556	3220.871	5891.156
0	[ 2]	6580	6783	3220.871	6057.823
0	[ 2]	6808	7136	3220.871	0
0	[ 3]	7186	7349	3220.871	0
0	[ 2]	7408	7629	3220.871	6034.014
0	[ 2]	7649	7886	3220.871	6844.422
0	[ 2]	7910	8175	3220.871	5649.297
0	[ 3]	8244	8378	3220.871	0
0	[ ]	7	952	2881.856	0
0	[ ]	973	1896	2881.856	6411.791
0	[ ]	1907	2482	2881.856	0
0	[ ]	2583	2609	2881.856	6115.646
0	[ ]	2741	3215	2881.856	6193.878
0	[ 1]	3283	3407	2881.856	0
0	[ 1]	3420	3838	2881.856	0
0	[ 1]	3875	4031	2881.856	6467.347
0	[ 1]	4044	4355	2881.856	0
0	[ 2]	4406	4514	2881.856	0
0	[ 2]	4542	4826	2881.856	6197.279
0	[ 4]	4883	5009	2881.856	0
0	[ 4]	5036	5223	2881.856	6428.753
0	[ 3]	5268	5392	2881.856	5725.578
0	[ 3]	5414	5576	2881.856	6382.472
0	[ 4]	5637	5810	2881.856	0
0	[ 4]	5831	6151	2881.856	6414.512
0	[ 4]	6172	6267	2881.856	5729.025
0	[ 1]	6331	6546	2881.856	0
0	[ 1]	6563	6705	2881.856	0
0	[ 1]	6739	6941	2881.856	6239.592
0	[ 1]	6964	7478	2881.856	0
0	[ 2]	7536	7704	2881.856	0
0	[ ]	7	1116	0	0
0	[ ]	1136	1391	0	0
0	[ ]	1402	1640	0	0
0	[ ]	1767	1927	0	0
0	[ ]	2059	2604	0	0
0	[ ]	2957	3114	0	0
0	[ ]	3311	3478	0	0
0	[ 3]	3510	3663	0	0
0	[ 3]	3685	3843	0	0
0	[ ]	4013	4205	0	0
0	[ ]	4228	4430	0	0
0	[ 3]	4569	4866	0	0
0	[ ]	4896	5105	0	0
0	[ ]	5128	5522	0	0
0	[ 2]	5557	6005	0	0
0	[ 2]	6037	6458	0	0
0	[ ]	6513	6814	0	0
1	[ ]	7	1038	0	0
1	[ ]	1173	1345	0	0
1	[ ]	1358	1918	0	0
1	[ ]	1928	2531	0	0
1	[ ]	2549	2773	0	0
